path,size_bytes,modified_utc,included_in_raw_zip,line_count,parse_errors
logs\live_run_20260626_193828.jsonl,590546,2026-06-26T19:38:29.576883+00:00,True,205,0
logs\live_run_20260626_193832.jsonl,592347,2026-06-26T19:38:46.616928+00:00,True,205,0
logs\live_run_20260626_193953.jsonl,744,2026-06-26T19:39:54.094320+00:00,True,1,0
logs\live_run_20260626_194033.jsonl,744,2026-06-26T19:40:34.313457+00:00,True,1,0
logs\live_run_20260626_194122.jsonl,744,2026-06-26T19:41:23.139416+00:00,True,1,0
logs\live_run_20260626_194155.jsonl,743,2026-06-26T19:41:56.130527+00:00,True,1,0
logs\live_run_20260626_194245.jsonl,743,2026-06-26T19:42:46.025213+00:00,True,1,0
logs\live_run_20260626_194327.jsonl,743,2026-06-26T19:43:28.228466+00:00,True,1,0
logs\live_runner_stderr_20260625_182213.log,0,2026-06-25T17:22:13.229770+00:00,True,,
logs\live_runner_stderr_20260625_195331.log,0,2026-06-25T18:53:31.953102+00:00,True,,
logs\live_runner_stderr_20260625_204419.log,0,2026-06-25T19:44:19.562554+00:00,True,,
logs\live_runner_stderr_20260625_210340.log,0,2026-06-25T20:03:40.163296+00:00,True,,
logs\live_runner_stderr_20260625_212227.log,0,2026-06-25T20:22:27.539541+00:00,True,,
logs\live_runner_stderr_20260625_214356.log,0,2026-06-25T20:43:56.366992+00:00,True,,
logs\live_runner_stderr_20260625_230843.log,0,2026-06-25T22:08:43.489484+00:00,True,,
logs\live_runner_stderr_20260626_010856.log,0,2026-06-26T00:08:56.579941+00:00,True,,
logs\live_runner_stderr_20260626_012916.log,0,2026-06-26T00:29:16.109337+00:00,True,,
logs\live_runner_stdout_20260625_182213.log,0,2026-06-25T17:22:13.228640+00:00,True,,
logs\live_runner_stdout_20260625_195331.log,0,2026-06-25T18:53:31.952096+00:00,True,,
logs\live_runner_stdout_20260625_204419.log,0,2026-06-25T19:44:19.561554+00:00,True,,
logs\live_runner_stdout_20260625_210340.log,0,2026-06-25T20:03:40.162942+00:00,True,,
logs\live_runner_stdout_20260625_212227.log,0,2026-06-25T20:22:27.538376+00:00,True,,
logs\live_runner_stdout_20260625_214356.log,0,2026-06-25T20:43:56.366992+00:00,True,,
logs\live_runner_stdout_20260625_230843.log,0,2026-06-25T22:08:43.488483+00:00,True,,
